n_puncta,obs_frac_within,null_frac_within,null_frac_std,enrichment,obs_median_dist_um,null_median_dist_um,empirical_p,cell_id,n_z_slices,condition,well,fov,timepoint,plate,file_path
5,0.2,0.26,0.1865475810617763,-0.06,1.2240926344757452,1.0589726913825683,0.7910447761194029,9,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
7,0.2857142857142857,0.16428571428571426,0.14551106276759546,0.12142857142857144,1.8628122407919767,1.534449525533258,0.30845771144278605,10,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
3,0.0,0.06333333333333332,0.1307669683062202,-0.06333333333333332,2.398060558961014,3.866676452413379,1.0,11,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
0,,,,,,,,12,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
9,0.3333333333333333,0.10111111111111111,0.10011721525353898,0.23222222222222222,2.644753716742294,2.3618917320372192,0.05970149253731343,13,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
1,0.0,0.055,0.22798026230356,-0.055,2.060373482863939,2.3662269374823017,1.0,14,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
3,0.0,0.028333333333333332,0.10422998075836382,-0.028333333333333332,3.4372550417771093,2.9640145695164892,1.0,15,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
9,0.1111111111111111,0.10833333333333332,0.10026969804322246,0.002777777777777782,1.927901853195733,1.7846526019771458,0.6616915422885572,16,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
9,0.1111111111111111,0.08555555555555557,0.08657402455930452,0.02555555555555554,2.611419898999176,3.0202502988330933,0.582089552238806,17,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
3,0.3333333333333333,0.145,0.20703596037618413,0.18833333333333332,1.373205900236536,1.4672492543167899,0.3681592039800995,18,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
5,0.2,0.191,0.17354826418031383,0.009000000000000008,1.5461646096066206,1.6766605632272324,0.6467661691542289,19,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
1,,,,,,,,20,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
12,0.25,0.15708333333333332,0.09971400074435106,0.09291666666666668,2.0487644664157654,2.6074149228887937,0.2835820895522388,21,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
6,0.0,0.16583333333333333,0.1495339983638058,-0.16583333333333333,2.138221809597887,1.5104833205905777,1.0,22,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
0,,,,,,,,23,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
7,0.14285714285714285,0.11857142857142854,0.1187606064006624,0.024285714285714313,2.7277636342697287,2.530055673824969,0.5970149253731343,24,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
3,0.3333333333333333,0.13166666666666665,0.19691368667515216,0.20166666666666666,1.1241045819278133,1.746621532185458,0.3482587064676617,25,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
18,0.2222222222222222,0.12694444444444447,0.07824808205751124,0.09527777777777774,1.0365880347768528,2.290779463325633,0.1791044776119403,1,11,Control,C17,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/Z59_PLD_Control/PLD3Control_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C17_F2.nd2
8,0.0,0.00375,0.021323402636539975,-0.00375,7.143405919226993,6.306158330920314,1.0,2,11,Control,C17,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/Z59_PLD_Control/PLD3Control_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C17_F2.nd2
9,0.0,0.1111111111111111,0.09813067629253162,-0.1111111111111111,2.2095751225568665,2.233405360176882,1.0,3,11,Control,C17,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/Z59_PLD_Control/PLD3Control_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C17_F2.nd2
7,0.0,0.20285714285714285,0.15277033583194113,-0.20285714285714285,3.268037552483812,1.9981036186234835,1.0,4,11,Control,C17,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/Z59_PLD_Control/PLD3Control_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C17_F2.nd2
21,0.14285714285714285,0.20404761904761906,0.093238228999369,-0.06119047619047621,1.653636564934651,1.894338712761658,0.8208955223880597,5,11,Control,C17,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/Z59_PLD_Control/PLD3Control_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C17_F2.nd2
2,0.5,0.2675,0.3036342371999574,0.23249999999999998,0.8701585105624196,1.9463938996265784,0.47761194029850745,6,11,Control,C17,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/Z59_PLD_Control/PLD3Control_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C17_F2.nd2
