well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,row,column,common_crop
D11,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,11,"{'y_start': 0, 'y_stop': 2105, 'x_start': 27, 'x_stop': 2868}"
D11,PLD3_TMEM106B_no_mCherry,12,488nm Binned,0.0,26.5,0.0018687945695122217,0.0034331693138302567,0.9907601115760112,0.9999999999999905,True,phase_cross_correlation_on_stable_channel,D,11,"{'y_start': 0, 'y_stop': 2105, 'x_start': 27, 'x_stop': 2868}"
D11,PLD3_TMEM106B_no_mCherry,16,488nm Binned,-762.2999877929688,0.0,0.013239761609727039,-0.006243119070595975,0.7342050251767891,0.9999999999999788,True,phase_cross_correlation_on_stable_channel,D,11,"{'y_start': 0, 'y_stop': 2105, 'x_start': 27, 'x_stop': 2868}"
D12,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,12,"{'y_start': 0, 'y_stop': 2868, 'x_start': 376, 'x_stop': 1907}"
D12,PLD3_TMEM106B_no_mCherry,12,488nm Binned,0.0,-961.0,0.009360051823295577,0.005203804610999756,0.6649232914923291,0.9999999999999922,True,phase_cross_correlation_on_stable_channel,D,12,"{'y_start': 0, 'y_stop': 2868, 'x_start': 376, 'x_stop': 1907}"
D12,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,375.20001220703125,0.008559348158179885,0.002648014766810444,0.8691771226614257,0.9999999999999905,True,phase_cross_correlation_on_stable_channel,D,12,"{'y_start': 0, 'y_stop': 2868, 'x_start': 376, 'x_stop': 1907}"
D13,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,13,"{'y_start': 0, 'y_stop': 2345, 'x_start': 0, 'x_stop': 2868}"
D13,PLD3_TMEM106B_no_mCherry,12,488nm Binned,-40.099998474121094,0.0,0.0037779716226265646,-0.000784092418714871,0.986018131633849,0.9999999999999774,True,phase_cross_correlation_on_stable_channel,D,13,"{'y_start': 0, 'y_stop': 2345, 'x_start': 0, 'x_stop': 2868}"
D13,PLD3_TMEM106B_no_mCherry,16,488nm Binned,-522.7999877929688,0.0,0.008392365781691564,0.0036614327405150686,0.8177126960275563,0.9999999999999819,True,phase_cross_correlation_on_stable_channel,D,13,"{'y_start': 0, 'y_stop': 2345, 'x_start': 0, 'x_stop': 2868}"
D14,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,14,"{'y_start': 0, 'y_stop': 2868, 'x_start': 454, 'x_stop': 1735}"
D14,PLD3_TMEM106B_no_mCherry,12,488nm Binned,0.0,454.0,0.0071236998306335175,-0.001535886705398053,0.8417015341701534,0.9999999999999897,True,phase_cross_correlation_on_stable_channel,D,14,"{'y_start': 0, 'y_stop': 2868, 'x_start': 454, 'x_stop': 1735}"
